agency_code,agency_name,agency_address,agency_contact_peple,agency_phone,agency_certify,agency_gov,agency_doc,agency_starttime,agency_boss,agency_asset,agency_structrue,agency_accountor,agency_child,agency_partner,agency_cpa,agency_stuff,agency_totalcpa,agency_totalstuff
13000022,石家庄洪源会计师事务所有限公司,石家庄中山东路216号市政府西配楼,戎霞,17732102807,13000022,河北省财政厅,冀财注[1999]102号,1999-10-15,王林茹,61.0,有限责任,王林茹,0,6,12,3,12,3
13000023,河北华诚会计师事务所有限公司,石家庄市四中路16号中国盒子A座三层302室,殷铁华,0311-85696033,13000023,河北省财政厅,冀财注[1999]78号,1999-09-23,殷铁华,100.0,有限责任,殷铁华,0,5,26,17,26,17
13000025,河北世纪恒信会计师事务所有限公司,石家庄市水源街72号,宇文建议,0311-87289656-601,13000025,河北省财政厅,冀财注[1999]69号,1999-09-30,宇文建议,100.0,有限责任,宇文建议,0,5,9,7,9,7
13000026,河北中君汇信源会计师事务所有限公司,石家庄市四中路16号中国盒子B座302室,孙玲,0311-83035949,13000026,河北省财政厅,冀财注[1999]32号,1999-08-23,刘朝,50.0,有限责任,刘朝,0,5,19,19,19,19
13000018,河北冀鸿会计师事务所有限公司,石家庄市广安大街77号安侨商务1209,王永梅,0311-85520108,13000018,河北省财政厅,冀财注字[1998]第2号,1998-02-28,王玲娜,300.0,有限责任,王玲娜,0,5,9,10,9,10
12010052,天津方证会计师事务所有限责任公司,天津市滨海新区海滨街幸福路866号,李俊敏,13602142590  13672066608,12010052,天津财政局/厅,津财法（2018）20号,2018-07-18,李建民,100.0,有限责任,李建民,0,5,20,26,20,26
11020003,北京安皓达会计师事务所（普通合伙）,北京市大兴区兴华大街（二段）3号院3号楼4层507,赵万钧,010-67540581,11020003,北京财政局/厅,京财会许可[2016]0037号,2016-06-29,王良召,0.0,普通合伙,王良召,0,0,3,0,3,0
12000024,天津同信有限责任会计师事务所,天津经济技术开发区第三大街8号豪威大厦A座904室,刘敏,022-25899846,12000024,市财政局,财会协〔1999〕53号,1999-12-02,刘敏,200.0,有限责任,刘敏,0,5,17,0,17,0
11020001,北京珹嵘恒会计师事务所（普通合伙）,北京市房山区拱辰街道月华大街1号A6-32,韩超,010-60349877,11020001,北京财政局/厅,京财会许可[2016]0010号,2016-02-23,崔全生,0.0,普通合伙,崔全生,0,0,5,0,5,0
12000022,天津天财有限责任会计师事务所,天津市河西区环湖东路与黑牛城道交口东北侧皓日园3-1-601,李君,022-23284989,12000022,市财政局,财会协〔1999〕71号,1999-12-28,陈晗,55.0,有限责任,陈晗,0,5,13,6,13,6
12010051,天津协同会计师事务所（普通合伙）,天津市河西区梅江天湾园1-2001,孟素温,022-58898445,12010051,天津财政局/厅,津财法（2018）19号,2018-07-18,孟素温,100.0,普通合伙,孟素温,0,0,2,0,2,0
11020005,北京瑞立会计师事务所（普通合伙）,北京市昌平区东小口镇中东路400号院-3-1-201,荣中良,010-59459626,11020005,北京财政局/厅,京财会许可[2016]0052号,2016-08-18,荣中良,0.0,普通合伙,荣中良,0,0,2,0,2,0
12010049,天津龙大会计师事务所（普通合伙）,天津华苑产业园区榕苑路7号凯德大厦A座401室,赵静,18649012368,12010049,天津财政局/厅,津财会（2018）11号,2018-06-22,赵静,15.0,普通合伙,赵静,0,2,2,1,2,1
11010306,北京菲伦会计师事务所（普通合伙）,北京市海淀区阜外亮甲店1号恩济西园10号楼三层东一门东310室,吕瑞涵,68256488,11010306,北京财政局/厅,京财会许可【2019】0033号,2019-01-07,赵春艳,0.0,普通合伙,赵春艳,0,0,3,0,3,0
11010302,北京维正会计师事务所（普通合伙）,北京市朝阳区朝阳路十里堡甲3号A座21层23J,郝琳,67782188,11010302,北京财政局/厅,京财会许可【2018】0025号,2018-11-28,叶天桥,0.0,普通合伙,叶天桥,0,0,2,0,2,0
11010243,北京市保盈通会计师事务所（普通合伙）,北京市房山区阎富路69号院46号楼1至4层101三层04,焦姣,010-80315110,11010243,北京财政局/厅,京财会许可[2015]0098号,2015-12-25,王宪文,0.0,普通合伙,王宪文,0,0,3,0,3,0
12010050,天津致远会计师事务所（普通合伙）,天津市南开区三马路华都大厦5层04号中504,于芳,13512264116,12010050,天津财政局/厅,津财法（2018）13号,2018-06-05,于芳,100.0,普通合伙,于芳,0,2,2,0,2,0
11010242,北京晟泰盈和会计师事务所（普通合伙）,北京市石景山区苹果园路28号院2号楼12层1207,15210141170,010-56190566,11010242,北京财政局/厅,京财会许可[2015]0090号,2015-12-01,王艳霞,0.0,普通合伙,王艳霞,0,0,2,0,2,0
11010210,北京中税嘉新会计师事务所（普通合伙）,北京市西城区平原里21号楼11层B1202,毛文静,13563679587,11010210,北京财政局/厅,京财会许可[2014]0079号,2014-09-30,陈东,0.0,普通合伙,陈东,0,0,6,4,6,4
11010288,北京丛信会计师事务所（普通合伙）,北京市昌平区科技园区创新路11号1号楼301,彭功军,010-80101789,11010288,北京财政局/厅,京财会许可[2018]0009号,2018-06-26,彭功军,0.0,普通合伙,彭功军,0,2,2,0,2,0
11010209,北京中康慧永会计师事务所（普通合伙）,北京市石景山区八角北里34栋西侧二层2283,秦英,13522704156,11010209,北京财政局/厅,京财会许可[2014]0071号,2014-09-03,秦英,0.0,普通合伙,秦英,0,0,5,0,5,0
11010207,北京志勤会计师事务所（普通合伙）,北京市海淀区北太平庄路27号23号楼3层306室,18600002215,010-51949206,11010207,北京财政局/厅,京财会许可[2014]0056号,2014-07-17,王建国,0.0,普通合伙,王建国,0,0,3,0,3,0
11010208,北京智墨会计师事务所（普通合伙）,北京市海淀区农大南路1号院5号楼3层305,朱辰,010-85999424,11010208,北京财政局/厅,京财会许可[2014]0055号,2014-07-17,吴恒军,0.0,普通合伙,吴恒军,0,0,4,0,4,0
11010221,北京菁华会计师事务所（普通合伙）,北京市西城区南礼士路丙3号楼807室,刘伟宁,13810799193,11010221,北京财政局/厅,京财会许可[2015]0025号,2015-04-30,刘建宝,0.0,普通合伙,刘建宝,0,0,8,0,8,0
11010206,北京可信会计师事务所（普通合伙）,北京市朝阳区百子湾家园106-2-903,郭德贵,010-53392759,11010206,北京财政局/厅,京财会许可[2014]0053号,2014-07-10,郭德贵,0.0,普通合伙,郭德贵,0,2,2,2,2,2
11010204,北京永中会计师事务所（普通合伙）,密云区兴盛南路8号院2号楼106室-847（商务区集中办公区）,侯利敏,010-88594989,11010204,北京财政局/厅,京财会许可【2014】0025号,2014-03-13,侯利敏,0.0,普通合伙,侯利敏,0,0,5,0,5,0
